1	-5	 Jaki uppmanar även till bojkott av företaget om utredningen visar att de diskriminerar katoliker, skriver Bloomberg
0	5	  – Vi hoppas, genom den här rättsprocessen, att regeringen kan förbättra redan existerande riktlinjer, och börja ta effektiva steg för att bekämpa luftföroreningar, för nuvarande riktlinjer fungerar inte, säger advokaten Ayu Eza Tiara, som företräder gruppen, till The Guardian
0	6	   KAN BLI FÄRRE STÄLLEN SOM SÄLJER TOBAK Däremot blir den nya tillståndsplikten en stor förändring med en större kontroll likt serveringstillståndet för alkoholservering
0	7	 Jag är väldigt nöjd över att ha hamnat här, Djurgården är en väldigt bra organisation, säger Berglund till Djurgårdens hemsida
0	6	 Vi är på en resa att vinna guld nummer sjutton och den viljan delar Patrik också, säger sportchefen Joakim Eriksson
0	5	– Nu gäller det att få fram personer på de ledande posterna som är kompetenta och som har en bra spridning, både vad gäller geografi och jämställdhet, men jag är orolig över att jämställdhetsfaktorn kan vara den första man glömmer och det vore inte bra, säger Stefan Löfven
0	5	  Gympa, simning, yoga, boxning, fotboll, löpning, högintensiv träning – vilken träningsform skulle passa er? Och vad händer med kroppen när man kommer in i en mer rörlig livsstil?  Vid er sida står en egen inspiratör som hjälper till med träningsschema, pepp och att hitta nya tankesätt kring träning, allt för att ni ska lyckas
1	-5	Bild: Baderkhan Ahmed/AP/TT  Den redan allvarliga situationen har försämrats ytterligare i det kurdiska lägret al-Hol i nordöstra Syrien, dit många IS-anhängare med familjer tagits efter terrorgruppens fall, varnar Rädda Barnen
0	5	 ”Deep Sea” visas i Ystad och Bremen – två hamnstäder där havet alltid har haft en stor betydelse
1	-6	  En man i 30-årsåldern döms av Göteborgs tingsrätt till två års och sex månaders fängelse för egenmäktighet med barn grovt brott, våldtäkt mot barn, misshandel och barnpornografibrott
1	-6	Bild: Björn Larsson Rosvall Nu döms mannen, som är i 30-årsåldern och från Göteborgstrakten, av Göteborgs tingsrätt till två års och sex månaders fängelse för egenmäktighet med barn grovt brott, våldtäkt mot barn, misshandel och barnpornografibrott
1	-6	 För att få en effektivare bekämpning av den här typen av brott föreslår utredare Kazimir Åberg att maxstraffet ska höjas från dagens sex till sju års fängelse för grovt vapenbrott och brott mot tillståndsplikten för explosiva varor
0	9	 59-åringen från Uppsala, som älskar musik och äger tusentals vinyl- och cd-skivor, har en sällsynt förmåga att ruska fram leenden från mediekåren genom att slänga in ett sinnrikt skämt eller en oväntad slutkläm på sömniga presskonferenser
0	6	 Avslappnad gångstil, avslappnad outfit – jeans, skjorta och keps hör till favoriterna – och, som det verkar, avslappnad inställning till det mesta
0	7	Live LIVE-TV: SE DI TV – SVERIGES NYA EKONOMI-TV-KANAL Di TV ger dig de bästa analyserna och hetaste aktietipsen  Live Live TOPP TIO SENASTE RELATERAT Ansvarig utgivare:  Redaktör i tjänst:   Telefon till redaktionen: 08 - 738 30 00 Tipsa oss: via mobil 71717 eller mejla  Mejla redaktionen:   © AB Kvällstidningen Expressen
0	5	 Hon är en riktig människa, man kan lita på henne och hon är väldigt bra att ha att göra med
0	5	 Jag har väldigt stor respekt för henne
1	-7	  RÄTTEGÅNG VÄNTAR NAZISTERNA Expressens granskning visar att tre nazister nu väntar på rättegång för attacker under förra årets Almedalsvecka
1	-7	 Svannäs är sedan tidigare är dömd för våldsamt upplopp efter 
1	-5	  RÄTTEN: FÖRMILDRANDE OMSTÄNDIGHETER Tingsrätten drar i dagens dom paralleller till det tidigare fallet 2012:  ”Tingsrätten har vid straffmätningen särskilt beaktat att de av (gärningsmannen) begångna gärningarna inneburit ett allvarligt angrepp på NN2:s trygghet till person samt att NN2 befunnit sig i en skyddslös ställning eftersom hon befunnit sig i ett annat land utan sitt normala skyddsnät
1	-5	 Det är ju fruktansvärt Jag förstår att Emilia var i chock nu – jag hoppas verkligen att polisen får tag i den här personen som var hotfull
1	-8	  DEMOKRATIHOTET 903 politiker har utsatts för våld, hot eller trakasserier sedan 2014
1	-8	  313 politiker har någon gång under de senaste fem åren funderat på att lämna politiken på grund av våld, hot eller trakasserier
1	-5	 Om du redan är en utsatt person i vardagen är det ju inte konstigt att man inte vill ställa sig upp och säga sin åsikt och kanske mötas av hot och våld
0	5	 Jag fick snabbt stöd av vallokalsarbetare och en person från ett annat parti kom direkt och stod med mig resten av dagen så fort den fick veta att det hänt
